Seconds,Waiting,InTransit,AverageWait,Waterfront Station,Vancouver City Centre Station,Broadway–City Hall Station,Yaletown–Roundhouse Station,King Edward Station,Oakridge–41st Ave Station,Langara–49th Ave Station,Marine Drive Station,Bridgeport Station,Aberdeen Station,Sea Island Centre Station,YVR–Airport Station,Lansdowne Station,Richmond–Brighouse Station,Olympic Village Station,Templeton Station,Capstan Station,Braid Station,Sapperton Station,Main Street–Science World Station,Stadium–Chinatown Station,Commercial–Broadway Station,Columbia Station,Scott Road Station,Gateway Station,Surrey Central Station,New Westminster Station,King George Station,22nd Street Station,Edmonds Station,Royal Oak Station,Metrotown Station,Patterson Station,Joyce–Collingwood Station,29th Ave Station,Nanaimo Station,Burrard Station,Granville Station,Lougheed Town Centre Station,Production Way–University Station,Lake City Way Station,Gilmore Station,Sperling–Burnaby Lake Station,Brentwood Town Centre Station,Holdom Station,VCC–Clark Station,Renfrew Station,Rupert Station,Burquitlam Station,Moody Centre Station,Inlet Centre Station,Coquitlam Central Station,Lafarge Lake–Douglas Station,Lincoln Station
61,79,0,0,11,2,2,2,1,2,2,2,2,0,0,2,1,3,0,0,0,0,0,1,1,4,0,3,1,4,3,3,2,2,1,4,1,4,2,1,1,2,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
121,310,2,0,27,7,7,6,6,6,8,9,8,2,0,6,4,11,2,2,2,2,2,6,5,12,3,10,5,15,9,11,7,9,4,15,3,13,6,6,6,6,10,2,0,2,1,4,2,1,3,2,4,1,1,4,2,3
181,515,4,0.1128287,37,7,13,11,10,10,13,15,14,4,1,10,7,19,4,3,4,3,3,10,9,21,5,17,9,25,15,19,12,15,7,25,6,21,11,10,10,10,17,4,0,3,2,7,3,1,6,4,6,2,2,6,3,4
241,724,11,0.8326936,46,12,18,15,14,15,19,21,20,5,1,15,10,27,6,5,5,5,4,14,13,30,7,24,13,36,22,28,17,21,10,35,8,30,16,14,8,14,23,5,1,5,3,10,5,2,8,6,9,3,3,9,4,5
301,927,15,1.83402,56,17,23,16,18,19,24,27,26,7,2,19,12,35,7,6,7,7,2,18,17,38,9,31,17,46,28,36,22,27,14,46,11,39,20,18,9,18,30,7,1,6,4,13,7,3,10,8,12,4,4,12,6,6
362,1108,43,2.694472,65,22,28,9,22,24,29,34,32,9,2,23,15,43,9,8,9,9,3,22,21,47,11,38,21,56,34,44,27,33,17,56,13,47,25,22,7,12,37,9,2,8,5,16,8,4,13,9,15,5,6,8,7,8
422,1308,50,3.553894,75,28,33,10,25,28,35,40,38,10,3,28,18,51,11,9,10,11,5,26,24,55,13,45,25,67,40,53,32,39,20,66,16,56,29,26,11,6,43,10,2,9,7,19,10,5,15,11,18,6,7,10,9,10
482,1499,61,4.221674,85,33,38,14,30,32,40,46,44,12,3,32,21,59,8,11,12,4,6,30,28,64,11,52,29,77,47,61,36,45,23,76,18,65,34,30,15,8,50,12,2,11,8,22,11,5,18,13,20,7,8,11,10,12
542,1681,48,4.79418,94,39,44,19,33,37,46,52,49,13,4,36,24,66,6,13,13,4,8,34,11,72,7,59,33,87,53,69,41,52,26,87,21,73,39,34,19,12,57,14,3,12,9,25,13,6,20,15,23,8,9,13,11,14
602,1843,67,5.420806,104,44,14,23,37,41,51,58,55,15,4,41,27,74,5,14,15,6,9,38,10,81,8,66,37,98,59,77,46,58,29,97,23,82,43,38,23,16,64,15,3,14,10,28,14,7,23,16,26,9,3,16,13,16
663,1991,75,5.915594,113,49,12,28,41,45,56,64,61,17,5,45,29,82,7,16,17,8,2,42,11,89,10,72,40,108,20,86,51,64,32,107,26,91,48,42,27,20,71,17,3,15,11,31,16,8,25,18,29,10,3,19,14,18
